Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_Murata_PKMCS0909E4000-R1,-85.852,-46.736,270,bottom
C1,0.1UF,C_0402_1005Metric,-66.548,-72.39,0,bottom
C2,0.1UF,C_0402_1005Metric,-80.772,-62.484,0,bottom
C3,0.1UF,C_0402_1005Metric,-78.994,-65.024,90,bottom
C5,0.1UF,C_0402_1005Metric,-73.152,-72.136,270,bottom
D2,LED,LED_0201_0603Metric,-76.454,-57.658,90,bottom
D3,LED,LED_0201_0603Metric,-78.232,-55.626,0,bottom
D4,LED,LED_0201_0603Metric,-77.724,-59.69,180,bottom
J1,USB_OTG,USB_Mini-B_Lumberg_2486_01_Horizontal,-67.31,-64.77,90,bottom
Q2,BC847,SOT-23,-89.408,-54.356,180,bottom
Q3,BC847,SOT-23,-83.566,-54.102,0,bottom
R1,3.3K,R_0402_1005Metric,-78.232,-53.848,0,bottom
R2,3.3K,R_0402_1005Metric,-80.01,-60.96,90,bottom
R3,3.3K,R_0402_1005Metric,-78.994,-60.96,90,bottom
R4,1K,R_0402_1005Metric,-85.09,-66.04,270,bottom
R5,1.2K,R_0402_1005Metric,-74.676,-61.468,180,bottom
R6,100,R_0402_1005Metric,-78.994,-67.056,90,bottom
R7,1K,R_0402_1005Metric,-68.58,-72.39,0,bottom
R8,1K,R_0402_1005Metric,-70.612,-72.39,0,bottom
R10,330,R_0402_1005Metric,-86.614,-53.086,90,bottom
R11,330,R_0402_1005Metric,-86.614,-54.955,270,bottom
SW1,SW_DIP_x01,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,-88.646,-68.072,90,bottom
U1,FS8205A,TSSOP-8_4.4x3mm_P0.65mm,-82.042,-70.104,180,bottom
U2,TP4056,SO-8_3.9x4.9mm_P1.27mm,-74.93,-65.786,270,bottom
U3,DW01-P,SOT-23-6,-81.788,-65.278,180,bottom
U5,AMS1117-3.3,TSOT-23,-75.946,-71.628,0,bottom
C4,100nF,C_0402_1005Metric,86.868,-63.754,270,top
R9,10K,R_0402_1005Metric,88.392,-62.23,180,top
U4,ESP32-WROOM-32D,ESP32-WROOM-32,75.946,-56.642,180,top
